18,33,4,1,25,29,35
15,4,12,18,33,30,27
14,31,19,11,4,8,22
10,22,25,18,7,33,35
26,2,29,34,23,1,8
9,28,35,6,31,25,4
1,10,32,22,16,4,7
13,30,16,24,31,8,20
22,29,6,31,10,13,8
29,35,24,11,5,8,12
32,14,3,6,17,22,28
12,25,35,5,7,18,10
25,5,11,14,6,17,4
35,13,11,2,20,32,23
25,11,33,35,24,22,16
3,22,35,6,5,19,14
21,24,3,28,10,14,19
28,21,26,33,25,30,7
3,11,25,2,16,32,9
34,10,23,19,26,1,12
2,5,21,7,34,18,25
27,24,2,20,1,15,8
14,7,29,22,5,2,26
9,15,12,27,31,10,26
1,25,20,14,5,12,23
8,4,10,26,20,2,21
30,24,16,25,35,7,1
28,26,35,34,13,15,19
16,9,3,18,30,4,27
2,35,27,33,21,9,11
10,23,12,18,21,34,16
26,34,7,3,15,2,24
8,19,17,4,20,31,6
12,16,15,28,13,23,34
12,19,23,14,28,13,30
25,6,8,3,15,9,35
17,3,29,35,14,21,5
35,6,32,17,25,30,9
18,32,20,17,16,9,27
13,32,6,24,17,1,20
